INFO | 
DEBUG |     epoch :  3/100   iteration :  520/ 793   loss : 5.85581
DEBUG |     epoch :  3/100   iteration :  530/ 793   loss : 5.50304
DEBUG |     epoch :  3/100   iteration :  540/ 793   loss : 5.28998
DEBUG |     epoch :  3/100   iteration :  550/ 793   loss : 6.00845
DEBUG |     epoch :  3/100   iteration :  560/ 793   loss : 5.66573
DEBUG |     epoch :  3/100   iteration :  570/ 793   loss : 5.81130
DEBUG |     epoch :  3/100   iteration :  580/ 793   loss : 5.83741
DEBUG |     epoch :  3/100   iteration :  590/ 793   loss : 5.55088
DEBUG |     epoch :  3/100   iteration :  600/ 793   loss : 6.16074
DEBUG |     epoch :  3/100   iteration :  610/ 793   loss : 5.33682
DEBUG |     epoch :  3/100   iteration :  620/ 793   loss : 5.76276
DEBUG |     epoch :  3/100   iteration :  630/ 793   loss : 5.54305
DEBUG |     epoch :  3/100   iteration :  640/ 793   loss : 5.40276
DEBUG |     epoch :  3/100   iteration :  650/ 793   loss : 5.52056
DEBUG |     epoch :  3/100   iteration :  660/ 793   loss : 5.40171
DEBUG |     epoch :  3/100   iteration :  670/ 793   loss : 5.73656
DEBUG |     epoch :  3/100   iteration :  680/ 793   loss : 5.59509
DEBUG |     epoch :  3/100   iteration :  690/ 793   loss : 5.77081
DEBUG |     epoch :  3/100   iteration :  700/ 793   loss : 5.77502
DEBUG |     epoch :  3/100   iteration :  710/ 793   loss : 5.38775
DEBUG |     epoch :  3/100   iteration :  720/ 793   loss : 6.02392
DEBUG |     epoch :  3/100   iteration :  730/ 793   loss : 5.38366
DEBUG |     epoch :  3/100   iteration :  740/ 793   loss : 5.28059
DEBUG |     epoch :  3/100   iteration :  750/ 793   loss : 5.42829
DEBUG |     epoch :  3/100   iteration :  760/ 793   loss : 5.94974
DEBUG |     epoch :  3/100   iteration :  770/ 793   loss : 5.62022
DEBUG |     epoch :  3/100   iteration :  780/ 793   loss : 5.73764
DEBUG |     epoch :  3/100   iteration :  790/ 793   loss : 5.40180
INFO |     epoch 3/100 done | avg.loss : 5.59329
DEBUG |     epoch :  4/100   iteration :   10/ 793   loss : 5.16433
DEBUG |     epoch :  4/100   iteration :   20/ 793   loss : 5.42256
DEBUG |     epoch :  4/100   iteration :   30/ 793   loss : 5.19609
DEBUG |     epoch :  4/100   iteration :   40/ 793   loss : 5.29611
DEBUG |     epoch :  4/100   iteration :   50/ 793   loss : 5.50820
DEBUG |     epoch :  4/100   iteration :   60/ 793   loss : 5.56117
DEBUG |     epoch :  4/100   iteration :   70/ 793   loss : 5.60352
DEBUG |     epoch :  4/100   iteration :   80/ 793   loss : 5.21762
DEBUG |     epoch :  4/100   iteration :   90/ 793   loss : 5.67655
DEBUG |     epoch :  4/100   iteration :  100/ 793   loss : 5.91796
DEBUG |     epoch :  4/100   iteration :  110/ 793   loss : 5.51080
DEBUG |     epoch :  4/100   iteration :  120/ 793   loss : 5.01686
DEBUG |     epoch :  4/100   iteration :  130/ 793   loss : 5.48116
DEBUG |     epoch :  4/100   iteration :  140/ 793   loss : 5.61936
DEBUG |     epoch :  4/100   iteration :  150/ 793   loss : 5.50419
DEBUG |     epoch :  4/100   iteration :  160/ 793   loss : 5.53285
DEBUG |     epoch :  4/100   iteration :  170/ 793   loss : 5.32674
DEBUG |     epoch :  4/100   iteration :  180/ 793   loss : 5.43000
DEBUG |     epoch :  4/100   iteration :  190/ 793   loss : 5.70834
DEBUG |     epoch :  4/100   iteration :  200/ 793   loss : 5.29435
DEBUG |     epoch :  4/100   iteration :  210/ 793   loss : 5.46141
DEBUG |     epoch :  4/100   iteration :  220/ 793   loss : 5.69358
DEBUG |     epoch :  4/100   iteration :  230/ 793   loss : 5.54612
DEBUG |     epoch :  4/100   iteration :  240/ 793   loss : 5.66722
DEBUG |     epoch :  4/100   iteration :  250/ 793   loss : 5.38046
DEBUG |     epoch :  4/100   iteration :  260/ 793   loss : 5.80894
DEBUG |     epoch :  4/100   iteration :  270/ 793   loss : 4.99863
DEBUG |     epoch :  4/100   iteration :  280/ 793   loss : 5.44374
DEBUG |     epoch :  4/100   iteration :  290/ 793   loss : 5.51014
DEBUG |     epoch :  4/100   iteration :  300/ 793   loss : 5.43067
DEBUG |     epoch :  4/100   iteration :  310/ 793   loss : 6.05427
DEBUG |     epoch :  4/100   iteration :  320/ 793   loss : 5.34180
DEBUG |     epoch :  4/100   iteration :  330/ 793   loss : 4.87848
DEBUG |     epoch :  4/100   iteration :  340/ 793   loss : 5.68385
DEBUG |     epoch :  4/100   iteration :  350/ 793   loss : 5.40230
DEBUG |     epoch :  4/100   iteration :  360/ 793   loss : 5.74529
DEBUG |     epoch :  4/100   iteration :  370/ 793   loss : 5.27771
DEBUG |     epoch :  4/100   iteration :  380/ 793   loss : 5.47328
DEBUG |     epoch :  4/100   iteration :  390/ 793   loss : 5.64627
DEBUG |     epoch :  4/100   iteration :  400/ 793   loss : 5.38012
DEBUG |     epoch :  4/100   iteration :  410/ 793   loss : 6.05238
DEBUG |     epoch :  4/100   iteration :  420/ 793   loss : 5.34767
DEBUG |     epoch :  4/100   iteration :  430/ 793   loss : 5.69021
DEBUG |     epoch :  4/100   iteration :  440/ 793   loss : 5.38372
DEBUG |     epoch :  4/100   iteration :  450/ 793   loss : 5.60760
DEBUG |     epoch :  4/100   iteration :  460/ 793   loss : 5.14577
DEBUG |     epoch :  4/100   iteration :  470/ 793   loss : 5.47166
